date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2020-03-10,US,02,02,AK,0,0,0
2020-03-10,US,04,04,AZ,6,0,1
2020-03-10,US,05,05,AR,0,0,0
2020-03-10,US,06,06,CA,144,2,2
2020-03-10,US,08,08,CO,15,0,0
2020-03-10,US,09,09,CT,2,0,0
2020-03-10,US,10,10,DE,0,0,0
2020-03-10,US,11,11,DC,5,0,0
2020-03-10,US,12,12,FL,15,2,0
2020-03-10,US,13,13,GA,17,0,0
2020-03-10,US,15,15,HI,2,0,0
2020-03-10,US,16,16,ID,0,0,0
2020-03-10,US,17,17,IL,12,0,2
2020-03-10,US,18,18,IN,6,0,0
2020-03-10,US,19,19,IA,8,0,0
2020-03-10,US,20,20,KS,1,0,0
2020-03-10,US,21,21,KY,6,0,0
2020-03-10,US,22,22,LA,1,0,0
2020-03-10,US,23,23,ME,0,0,0
2020-03-10,US,24,24,MD,8,0,0
2020-03-10,US,25,25,MA,92,0,1
2020-03-10,US,26,26,MI,0,0,0
2020-03-10,US,27,27,MN,3,0,0
2020-03-10,US,28,28,MS,0,0,0
2020-03-10,US,29,29,MO,1,0,0
2020-03-10,US,30,30,MT,0,0,0
2020-03-10,US,31,31,NE,3,0,0
2020-03-10,US,32,32,NV,4,0,0
2020-03-10,US,33,33,NH,4,0,0
2020-03-10,US,34,34,NJ,15,1,0
2020-03-10,US,35,35,NM,0,0,0
2020-03-10,US,36,36,NY,173,0,0
2020-03-10,US,37,37,NC,7,0,0
2020-03-10,US,38,38,ND,0,0,0
2020-03-10,US,39,39,OH,3,0,0
2020-03-10,US,40,40,OK,2,0,0
2020-03-10,US,41,41,OR,15,0,0
2020-03-10,US,42,42,PA,12,0,0
2020-03-10,US,44,44,RI,3,0,0
2020-03-10,US,45,45,SC,7,0,0
2020-03-10,US,46,46,SD,0,0,0
2020-03-10,US,47,47,TN,7,0,0
2020-03-10,US,48,48,TX,13,0,0
2020-03-10,US,49,49,UT,2,0,0
2020-03-10,US,50,50,VT,1,0,0
2020-03-10,US,51,51,VA,7,0,0
2020-03-10,US,53,53,WA,267,23,1
2020-03-10,US,54,54,WV,0,0,0
2020-03-10,US,55,55,WI,3,0,1
2020-03-10,US,56,56,WY,0,0,0
2020-03-10,US,DP,,,46,0,0
2020-03-10,US,GP,,,21,0,0
2020-03-11,US,02,02,AK,0,0,0
2020-03-11,US,04,04,AZ,9,0,1
2020-03-11,US,05,05,AR,1,0,0
2020-03-11,US,06,06,CA,177,3,2
2020-03-11,US,08,08,CO,34,0,0
2020-03-11,US,09,09,CT,3,0,0
2020-03-11,US,10,10,DE,1,0,0
2020-03-11,US,11,11,DC,10,0,0
2020-03-11,US,12,12,FL,28,2,0
2020-03-11,US,13,13,GA,23,0,0
2020-03-11,US,15,15,HI,2,0,0
2020-03-11,US,16,16,ID,0,0,0
2020-03-11,US,17,17,IL,25,0,2
2020-03-11,US,18,18,IN,11,0,0
2020-03-11,US,19,19,IA,13,0,0
2020-03-11,US,20,20,KS,1,0,0
2020-03-11,US,21,21,KY,8,0,0
2020-03-11,US,22,22,LA,6,0,0
2020-03-11,US,23,23,ME,0,0,0
2020-03-11,US,24,24,MD,9,0,0
2020-03-11,US,25,25,MA,95,0,1
2020-03-11,US,26,26,MI,2,0,0
2020-03-11,US,27,27,MN,5,0,0
2020-03-11,US,28,28,MS,0,0,0
2020-03-11,US,29,29,MO,1,0,0
2020-03-11,US,30,30,MT,1,0,0
2020-03-11,US,31,31,NE,5,0,0
2020-03-11,US,32,32,NV,7,0,0
2020-03-11,US,33,33,NH,5,0,0
2020-03-11,US,34,34,NJ,23,1,0
2020-03-11,US,35,35,NM,3,0,0
2020-03-11,US,36,36,NY,220,0,0
2020-03-11,US,37,37,NC,7,0,0
2020-03-11,US,38,38,ND,0,0,0
2020-03-11,US,39,39,OH,4,0,0
