date_stamp,age_group,cnt_confirmed,pct_confirmed
2020-06-03,00,22,5.08
2020-06-03,11,47,10.85
2020-06-03,21,93,21.48
2020-06-03,31,82,18.94
2020-06-03,41,63,14.55
2020-06-03,51,64,14.78
2020-06-03,61,42,9.70
2020-06-03,71,15,3.46
2020-06-03,81,10,2.31
2020-06-03,91,2,0.46
2020-06-03,99,1,0.30
2020-06-05,00,23,5.09
2020-06-05,11,55,12.17
2020-06-05,21,97,21.46
2020-06-05,31,83,18.36
2020-06-05,41,66,14.60
2020-06-05,51,68,15.04
2020-06-05,61,43,9.51
2020-06-05,71,16,3.54
2020-06-05,81,10,2.21
2020-06-05,91,2,0.44
2020-06-05,99,0,0.00
2020-06-06,00,23,5.00
2020-06-06,11,57,12.39
2020-06-06,21,97,21.09
2020-06-06,31,83,18.04
2020-06-06,41,66,14.35
2020-06-06,51,69,15.00
2020-06-06,61,45,9.78
2020-06-06,71,16,3.48
2020-06-06,81,10,2.17
2020-06-06,91,2,0.43
2020-06-06,99,3,0.83
2020-06-07,00,24,5.17
2020-06-07,11,57,12.28
2020-06-07,21,97,20.91
2020-06-07,31,83,17.89
2020-06-07,41,68,14.66
2020-06-07,51,69,14.87
2020-06-07,61,46,9.91
2020-06-07,71,16,3.45
2020-06-07,81,10,2.16
2020-06-07,91,2,0.43
2020-06-07,99,2,0.54
2020-06-08,00,27,5.66
2020-06-08,11,59,12.37
2020-06-08,21,100,20.96
2020-06-08,31,85,17.82
2020-06-08,41,70,14.68
2020-06-08,51,69,14.47
2020-06-08,61,47,9.85
2020-06-08,71,17,3.56
2020-06-08,81,10,2.10
2020-06-08,91,2,0.42
2020-06-08,99,1,0.27
2020-06-09,00,28,5.67
2020-06-09,11,60,12.15
2020-06-09,21,105,21.26
2020-06-09,31,86,17.41
2020-06-09,41,73,14.78
2020-06-09,51,72,14.57
2020-06-09,61,49,9.92
2020-06-09,71,18,3.64
2020-06-09,81,10,2.02
2020-06-09,91,2,0.40
2020-06-09,99,1,0.25
2020-06-10,00,28,5.57
2020-06-10,11,66,13.12
2020-06-10,21,106,21.07
2020-06-10,31,86,17.10
2020-06-10,41,74,14.71
2020-06-10,51,74,14.71
2020-06-10,61,49,9.74
2020-06-10,71,17,3.38
2020-06-10,81,10,1.99
2020-06-10,91,2,0.40
2020-06-10,99,1,0.25
2020-06-11,00,28,5.39
2020-06-11,11,68,13.10
2020-06-11,21,108,20.81
2020-06-11,31,94,18.11
2020-06-11,41,76,14.64
2020-06-11,51,76,14.64
2020-06-11,61,49,9.44
2020-06-11,71,17,3.28
2020-06-11,81,10,1.93
2020-06-11,91,2,0.39
2020-06-11,99,1,0.25
2020-06-12,00,28,5.33
2020-06-12,11,70,13.33
2020-06-12,21,109,20.76
2020-06-12,31,95,18.10
2020-06-12,41,78,14.86
2020-06-12,51,76,14.48
2020-06-12,61,49,9.33
2020-06-12,71,17,3.24
2020-06-12,81,10,1.90
2020-06-12,91,2,0.38
2020-06-12,99,3,0.75
2020-06-13,00,28,5.12
2020-06-13,11,72,13.16
2020-06-13,21,115,21.02
2020-06-13,31,101,18.46
2020-06-13,41,83,15.17
2020-06-13,51,78,14.26
2020-06-13,61,49,8.96
2020-06-13,71,17,3.11
2020-06-13,81,10,1.83
2020-06-13,91,2,0.37
2020-06-13,99,4,0.93
2020-06-14,00,29,5.21
2020-06-14,11,73,13.11
2020-06-14,21,118,21.18
2020-06-14,31,104,18.67
2020-06-14,41,88,15.80
2020-06-14,51,79,14.18
2020-06-14,61,49,8.80
2020-06-14,71,18,3.23
2020-06-14,81,10,1.80
2020-06-14,91,2,0.36
2020-06-14,99,4,0.92
2020-06-15,00,30,5.28
2020-06-15,11,73,12.85
2020-06-15,21,122,21.48
2020-06-15,31,110,19.37
2020-06-15,41,89,15.67
2020-06-15,51,79,13.91
2020-06-15,61,50,8.80
2020-06-15,71,18,3.17
2020-06-15,81,10,1.76
2020-06-15,91,2,0.35
2020-06-15,99,4,0.87
2020-06-16,00,31,5.41
2020-06-16,11,73,12.74
2020-06-16,21,124,21.64
2020-06-16,31,111,19.37
2020-06-16,41,89,15.53
2020-06-16,51,81,14.14
2020-06-16,61,50,8.73
2020-06-16,71,18,3.14
2020-06-16,81,10,1.75
2020-06-16,91,2,0.35
2020-06-16,99,4,0.84
2020-06-17,00,32,5.42
2020-06-17,11,75,12.71
2020-06-17,21,127,21.53
2020-06-17,31,112,18.98
2020-06-17,41,94,15.93
2020-06-17,51,84,14.24
2020-06-17,61,51,8.64
